path,old_status,new_status,old_finalUrl,new_finalUrl,old_title,new_title,title_match,old_h1,new_h1,h1_match,old_canonical,new_canonical,old_robotsMeta,new_robotsMeta,new_xRobotsTag,old_ldTypes,new_ldTypes,old_anchorCount,new_anchorCount,old_wordCount,new_wordCount,wordCount_ratio,new_legacyHrefCount,old_ms,new_ms,old_payload,new_payload
/,200,200,https://heroicrankings.com/,https://heroic-rankings-final.vercel.app/,Rank Like A Hero | Heroic Rankings,Data-Driven SEO Agency for Organic Growth | Heroic Rankings,n,Powering Your Organic Growth,"Others are not better,they&#x27;re just easier to find.",n,https://heroicrankings.com/,https://heroicrankings.com/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",WebSite,"BreadcrumbList,Organization,WebSite",68,89,1379,1729,1.25,0,3044,822,1365066,718373
/about/,200,200,https://heroicrankings.com/about/,https://heroic-rankings-final.vercel.app/about/,Meet Our Heroic Team  | Heroic Rankings,About Us | Heroic Rankings,n,About,Meet the Ranking Heroes,n,https://heroicrankings.com/about/,https://heroicrankings.com/about/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",AboutPage,"BreadcrumbList,Organization,WebSite",53,64,871,1261,1.45,0,2722,810,808227,544616
/about/anastasija-jankovic/,200,200,https://heroicrankings.com/about/anastasija-jankovic/,https://heroic-rankings-final.vercel.app/about/anastasija-jankovic/,Anastasija Jankovic | Co Founder |  | Heroic Rankings,"Anastasija Jankovic, Co-Founder &amp; CHRO | Heroic Rankings | Heroic Rankings",n,Anastasija Jankovic,Anastasija Jankovic,y,https://heroicrankings.com/about/anastasija-jankovic/,https://heroicrankings.com/about/anastasija-jankovic/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",ProfilePage,"BreadcrumbList,Organization,ProfilePage,WebSite",36,47,236,315,1.33,0,1415,509,564788,400147
/about/andjela-knezevic/,200,200,https://heroicrankings.com/about/andjela-knezevic/,https://heroic-rankings-final.vercel.app/about/andjela-knezevic/,Andjela Knezevic | SEO &amp; Link Building Expert | Heroic Rankings,"Andjela Knezevic, Link Building Specialist | Heroic Rankings | Heroic Rankings",n,Andjela Knezevic,Andjela Knezevic,y,https://heroicrankings.com/about/andjela-knezevic/,https://heroicrankings.com/about/andjela-knezevic/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",ProfilePage,"BreadcrumbList,Organization,ProfilePage,WebSite",36,47,243,297,1.22,0,1409,668,569143,401066
/about/nebojsa-jankovic/,200,200,https://heroicrankings.com/about/nebojsa-jankovic/,https://heroic-rankings-final.vercel.app/about/nebojsa-jankovic/,Nebojsa Jankovic | Founder  | Heroic Rankings,"Nebojsa Jankovic, Founder &amp; CEO | Heroic Rankings | Heroic Rankings",n,Nebojsa Jankovic,Nebojsa Jankovic,y,https://heroicrankings.com/about/nebojsa-jankovic/,https://heroicrankings.com/about/nebojsa-jankovic/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",ProfilePage,"BreadcrumbList,Organization,ProfilePage,WebSite",37,48,281,336,1.20,0,1416,729,570805,409540
/about/slobodan-kacavenda/,200,200,https://heroicrankings.com/about/slobodan-kacavenda/,https://heroic-rankings-final.vercel.app/about/slobodan-kacavenda/,Slobodan Kacavenda | Link Building Expert | Heroic Rankings,"Slobodan Kacavenda, Link Building Specialist | Heroic Rankings | Heroic Rankings",n,Slobodan Kacavenda,Slobodan Kacavenda,y,https://heroicrankings.com/about/slobodan-kacavenda/,https://heroicrankings.com/about/slobodan-kacavenda/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",ProfilePage,"BreadcrumbList,Organization,ProfilePage,WebSite",36,47,231,282,1.22,0,1401,539,560371,395621
/about/srdjan-gombar/,200,200,https://heroicrankings.com/about/srdjan-gombar/,https://heroic-rankings-final.vercel.app/about/srdjan-gombar/,Srdjan Gombar | Content Manager | Heroic Rankings,"Srdjan Gombar, Content Manager | Heroic Rankings | Heroic Rankings",n,Srdjan Gombar,Srdjan Gombar,y,https://heroicrankings.com/about/srdjan-gombar/,https://heroicrankings.com/about/srdjan-gombar/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",ProfilePage,"BreadcrumbList,Organization,ProfilePage,WebSite",36,47,284,324,1.14,0,1410,617,556013,392047
/about/stefan-cvetkovic/,200,200,https://heroicrankings.com/about/stefan-cvetkovic/,https://heroic-rankings-final.vercel.app/about/stefan-cvetkovic/,Stefan Cvetkovic | Organic Growth Manager | Heroic Rankings,"Stefan Cvetkovic, Organic Growth Manager | Heroic Rankings | Heroic Rankings",n,Stefan Cvetkovic,Stefan Cvetkovic,y,https://heroicrankings.com/about/stefan-cvetkovic/,https://heroicrankings.com/about/stefan-cvetkovic/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",ProfilePage,"BreadcrumbList,Organization,ProfilePage,WebSite",36,47,224,303,1.35,0,2092,1615,564021,399757
/about/una-stanojevic/,200,200,https://heroicrankings.com/about/una-stanojevic/,https://heroic-rankings-final.vercel.app/about/una-stanojevic/,Una Stanojevic | Strategic Assistant &amp; Head of Operations | Heroic Rankings,"Una Stanojevic, Strategic Assistant &amp; Head of Operations | Heroic Rankings | Heroic Rankings",n,Una Stanojevic,Una Stanojevic,y,https://heroicrankings.com/about/una-stanojevic/,https://heroicrankings.com/about/una-stanojevic/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",ProfilePage,"BreadcrumbList,Organization,ProfilePage,WebSite",36,47,238,292,1.23,0,1791,534,555773,392894
/blog/,200,200,https://heroicrankings.com/blog/,https://heroic-rankings-final.vercel.app/blog/,Heroic Rankings Blog | Expert SEO Insights | Heroic Rankings,Insights | Heroic Rankings,n,Blog,Our Blog,n,https://heroicrankings.com/blog/,https://heroicrankings.com/blog/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",Blog,"BreadcrumbList,Organization,WebSite",95,52,667,391,0.59,0,10025,519,6457270,421385
/case-study/,200,200,https://heroicrankings.com/case-study/,https://heroic-rankings-final.vercel.app/case-study/,Case Studies | Heroic Rankings,Case Studies | Heroic Rankings,y,Success Stories,Success Stories,y,https://heroicrankings.com/case-study/,https://heroicrankings.com/case-study/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",CollectionPage,"BreadcrumbList,Organization,WebSite",43,58,418,836,2.00,0,1792,582,617731,437157
/case-study/affinda/,200,200,https://heroicrankings.com/case-study/affinda/,https://heroic-rankings-final.vercel.app/case-study/affinda/,Affinda SEO Case Study | Boosting &quot;Resume Parser&quot; Rankings | Heroic Rankings,Affinda SEO Case Study | Boosting &quot;Resume Parser&quot; Rankings | Heroic Rankings,y,Affinda SEO Case Study | Boosting &quot;Resume Parser&quot; Rankings,Affinda,n,https://heroicrankings.com/case-study/affinda/,https://heroicrankings.com/case-study/affinda/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",WebPage,"BreadcrumbList,Organization,WebSite",37,46,713,1278,1.79,0,1777,505,575369,498511
/case-study/art-by-maudsch/,200,200,https://heroicrankings.com/case-study/art-by-maudsch/,https://heroic-rankings-final.vercel.app/case-study/art-by-maudsch/,Art by Maudsch SEO Case Study | Elevating Rankings with Backlinks | Heroic Rankings,Art by Maudsch SEO Case Study | Elevating Rankings with Backlinks | Heroic Rankings,y,Art by Maudsch SEO Case Study | Elevating Rankings with Backlinks,Art by Maudsch,n,https://heroicrankings.com/case-study/art-by-maudsch/,https://heroicrankings.com/case-study/art-by-maudsch/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",WebPage,"BreadcrumbList,Organization,WebSite",37,46,675,1119,1.66,0,1786,681,582204,512563
/case-study/designrush/,200,200,https://heroicrankings.com/case-study/designrush/,https://heroic-rankings-final.vercel.app/case-study/designrush/,DesignRush SEO Case Study | Strengthening Authority with Link Building | Heroic Rankings,DesignRush SEO Case Study | Strengthening Authority with Link Building | Heroic Rankings,y,DesignRush SEO Case Study | Strengthening Authority with Link Building,DesignRush,n,https://heroicrankings.com/case-study/designrush/,https://heroicrankings.com/case-study/designrush/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",WebPage,"BreadcrumbList,Organization,WebSite",42,46,766,1251,1.63,0,1118,491,581149,509089
/case-study/my-baskets/,200,200,https://heroicrankings.com/case-study/my-baskets/,https://heroic-rankings-final.vercel.app/case-study/my-baskets/,My Baskets SEO Success | How Link Building Increased Traffic | Heroic Rankings,My Baskets SEO Success | How Link Building Increased Traffic | Heroic Rankings,y,My Baskets SEO Success | How Link Building Increased Traffic,My Baskets,n,https://heroicrankings.com/case-study/my-baskets/,https://heroicrankings.com/case-study/my-baskets/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",WebPage,"BreadcrumbList,Organization,WebSite",43,46,1008,1767,1.75,0,967,525,595377,532028
/case-study/nagish/,200,200,https://heroicrankings.com/case-study/nagish/,https://heroic-rankings-final.vercel.app/case-study/nagish/,Nagish SEO Case Study | Scaling Search Visibility with Backlinks | Heroic Rankings,Nagish SEO Case Study | Scaling Search Visibility with Backlinks | Heroic Rankings,y,Nagish SEO Case Study | Scaling Search Visibility with Backlinks,Nagish,n,https://heroicrankings.com/case-study/nagish/,https://heroicrankings.com/case-study/nagish/,,"noindex, nofollow, nocache","noindex, nofollow, noarchive, nosnippet, noimageindex",WebPage,"BreadcrumbList,Organization,WebSite",37,46,769,1222,1.59,0,1186,441,587021,517239
